f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,target
120.0,3.0,177.3125,0.0,0.0,0.6817945071647321,177.3125,175.3125,175.3125,0.6817945071647321,0.6817945071647321,0.6817945071647321,0
120.0,3.0,179.125,0.0,0.0,1.8328597873268975,179.125,177.125,177.125,1.8328597873268975,1.8328597873268975,1.8328597873268975,1
120.0,3.0,178.1875,0.0,0.0,2.877037321620976,178.1875,176.1875,176.1875,2.877037321620976,2.877037321620976,2.877037321620976,1
120.0,3.0,177.375,0.0,0.0,0.5994789404140899,177.375,175.375,175.375,0.5994789404140899,0.5994789404140899,0.5994789404140899,1
120.0,3.0,176.875,0.0,0.0,1.1110243021644486,176.875,174.875,174.875,1.1110243021644486,1.1110243021644486,1.1110243021644486,1
120.0,3.0,174.625,0.0,0.0,1.5761900266148114,174.625,172.625,172.625,1.5761900266148114,1.5761900266148114,1.5761900266148114,0
120.0,3.0,165.9375,0.0,0.0,3.6991341892394227,165.9375,163.9375,163.9375,3.6991341892394227,3.6991341892394227,3.6991341892394227,0
120.0,3.0,166.875,0.0,0.0,2.9553976043842223,166.875,164.875,164.875,2.9553976043842223,2.9553976043842223,2.9553976043842223,1
125.25,6.5625,171.625,1.984313483298443,1.3678792892649556,1.0532687216470449,171.625,167.0,167.875,1.0532687216470449,0.9354143466934853,0.8569568250501305,0
126.0,7.0,176.1875,0.0,0.0,1.5499495959546556,176.1875,171.1875,172.1875,1.5499495959546556,1.5499495959546556,1.5499495959546556,1
122.25,5.0625,160.3125,2.9047375096555625,2.633171804117612,16.47998312347437,160.3125,157.1875,157.5625,16.47998312347437,17.099776131575524,16.881827322597516,0
125.5,13.0625,109.4375,0.5,2.3310070248714396,12.658834612633187,109.4375,103.9375,104.9375,12.658834612633187,12.958919466915441,12.958919466915441,1
124.75,13.6875,121.875,0.4330127018922193,1.757795138803154,7.381353195722313,121.875,115.375,116.375,7.381353195722313,7.166545541612082,7.166545541612082,1
124.5,24.6875,100.0,0.5,5.2526035211121735,10.024968827881711,100.0,90.5,92.0,10.024968827881711,10.902981243678262,10.594810050208546,0
126.875,20.6875,142.5,1.4523687548277813,4.792164829176893,31.551545128567,142.5,131.5,134.125,31.551545128567,31.551545128567,31.448121963004404,1
122.5,14.0625,193.25,2.5,1.0879309490955758,4.763139720814412,193.25,182.75,183.75,4.763139720814412,5.153882032022076,4.394598957811737,0
114.75,7.75,189.8125,1.984313483298443,1.984313483298443,2.1569292408421745,189.8125,185.0625,184.1875,2.1569292408421745,0.24206145913796356,0.5266343608235224,1
114.0,7.0,191.4375,0.0,0.0,1.1709371246996996,191.4375,187.4375,186.4375,1.1709371246996996,1.1709371246996996,1.1709371246996996,1
